Date,precio_bogota,colcap
2020-03-30,46996.0078125,1129.18
2020-03-31,45090.76953125,1123.85
2020-04-01,44443.00390625,1063.03
2020-04-02,47770.80078125,1114.43
2020-04-03,47948.625,1127.55
2020-04-06,48583.72265625,1160.12
2020-04-07,48266.1640625,1163.43
2020-04-08,46996.0078125,1187.13
2020-04-13,46996.0078125,1193.98
2020-04-14,46970.609375,1211.06
2020-04-15,46970.609375,1204.01
2020-04-16,46360.91796875,1202.54
2020-04-17,46348.22265625,1192.08
2020-04-20,46360.91796875,1179.6
2020-04-21,44455.69140625,1131.29
2020-04-22,44265.171875,1132.78
2020-04-23,44455.69140625,1151.78
2020-04-24,42550.44921875,1122.37
2020-04-27,42637.2421875,1116.17
2020-04-28,42101.09375,1145.34
2020-04-29,41539.40625,1145.89
2020-04-30,40850.05078125,1142.04
2020-05-04,39573.48828125,1105.43
2020-05-05,40518.15625,1099.28
2020-05-06,38399.046875,1090.43
2020-05-07,39573.48828125,1113.37
2020-05-08,40084.125,1110.26
2020-05-11,40211.77734375,1104.09
2020-05-12,39573.48828125,1089.29
2020-05-13,38896.91796875,1055.27
2020-05-14,37837.375,1052.23
2020-05-15,37403.33203125,1053.75
2020-05-18,37658.6484375,1082.96
2020-05-19,37594.8125,1067.65
2020-05-20,38296.92578125,1072.29
2020-05-21,37786.30859375,1066.11
2020-05-22,38143.73046875,1057.66
2020-05-26,38282.40234375,1072.78
2020-05-27,37871.578125,1088.42
2020-05-28,37743.19921875,1085.55
2020-05-29,37229.6796875,1095.84
2020-06-01,38385.09375,1117.02
2020-06-02,37871.578125,1117.69
2020-06-03,37871.578125,1158.05
2020-06-04,38834.421875,1163.84
2020-06-05,40131.0390625,1203.07
2020-06-08,42005.35546875,1228.24
2020-06-09,41466.16796875,1209.99
2020-06-10,41081.02734375,1177.99
2020-06-11,39989.828125,1121.55
2020-06-12,41697.25,1143.13
2020-06-16,42095.2265625,1154.63
2020-06-17,42981.046875,1139.3
2020-06-18,43584.41015625,1139.0
2020-06-19,43969.546875,1161.41
2020-06-23,41799.9609375,1143.28
2020-06-24,40971.4921875,1125.48
2020-06-25,40003.66015625,1125.03
2020-06-26,39668.1484375,1110.65
2020-06-30,39048.7421875,1111.8
2020-07-01,39822.9921875,1109.91
2020-07-02,39874.609375,1118.97
2020-07-03,40352.07421875,1125.26
2020-07-06,40352.07421875,1129.47
2020-07-07,40081.1015625,1131.84
2020-07-08,40945.6875,1153.54
2020-07-09,40648.890625,1143.1
2020-07-10,41410.23828125,1147.78
2020-07-13,41939.3203125,1145.16
2020-07-14,42390.98828125,1144.53
